learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes)
1200.0,0.09375,-2.4253192047278088E-14,1200.0,51.5,5.3473848555815735,1205.0,-1.0
1400.0,0.09375,-2.4253192047278088E-14,1400.0,52.5,-1.0638297872340436,1405.0,-1.0
1600.0,0.109375,-2.8295390721824436E-14,1600.0,46.5,-5.170041281698446,1605.0,-1.0
1800.0,0.109375,-2.8295390721824436E-14,1800.0,52.5,-1.996993772815136,1805.0,-1.0
2000.0,0.109375,-2.8295390721824436E-14,2000.0,50.0,2.6479750778816307,2005.0,-1.0
2170.0,0.109375,-2.8295390721824436E-14,2170.0,46.0,-1.5037593984962419,2175.0,-1.0
learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes)
200.0,0.046875,-1.2126596023639044E-14,200.0,42.5,-18.191161356629003,205.0,-1.0
400.0,0.0625,-1.616879469818539E-14,400.0,47.5,-3.2245379473063247,405.0,-1.0
600.0,0.078125,-2.021099337273174E-14,600.0,49.0,1.4016433059449076,605.0,-1.0
800.0,0.078125,-2.021099337273174E-14,800.0,59.0,0.0,805.0,-1.0
1000.0,0.09375,-2.4253192047278088E-14,1000.0,51.0,1.6557952834922187,1005.0,-1.0
1200.0,0.09375,-2.4253192047278088E-14,1200.0,51.5,5.3473848555815735,1205.0,-1.0
1400.0,0.109375,-2.8295390721824436E-14,1400.0,52.5,-1.0638297872340436,1405.0,-1.0
1600.0,0.109375,-2.8295390721824436E-14,1600.0,46.5,-5.170041281698446,1605.0,-1.0
1800.0,0.109375,-2.8295390721824436E-14,1800.0,52.5,-1.996993772815136,1805.0,-1.0
2000.0,0.125,-3.233758939637078E-14,2000.0,50.0,2.6479750778816307,2005.0,-1.0
2170.0,0.125,-3.233758939637078E-14,2170.0,46.0,-1.5037593984962419,2175.0,-1.0
learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes)
200.0,0.015625,-4.042198674546348E-15,200.0,42.5,-18.191161356629003,205.0,-1.0
400.0,0.046875,-1.2126596023639042E-14,400.0,47.5,-3.2245379473063247,405.0,-1.0
600.0,0.046875,-1.2126596023639042E-14,600.0,49.0,1.4016433059449076,605.0,-1.0
800.0,0.0625,-1.616879469818539E-14,800.0,59.0,0.0,805.0,-1.0
1000.0,0.0625,-1.616879469818539E-14,1000.0,51.0,1.6557952834922187,1005.0,-1.0
1200.0,0.078125,-2.021099337273174E-14,1200.0,51.5,5.3473848555815735,1205.0,-1.0
1400.0,0.078125,-2.021099337273174E-14,1400.0,52.5,-1.0638297872340436,1405.0,-1.0
1600.0,0.09375,-2.4253192047278088E-14,1600.0,46.5,-5.170041281698446,1605.0,-1.0
1800.0,0.09375,-2.4253192047278088E-14,1800.0,52.5,-1.996993772815136,1805.0,-1.0
2000.0,0.09375,-2.4253192047278088E-14,2000.0,50.0,2.6479750778816307,2005.0,-1.0
2170.0,0.09375,-2.4253192047278088E-14,2170.0,46.0,-1.5037593984962419,2175.0,-1.0
learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes)
200.0,0.03125,-8.084397349092695E-15,200.0,42.5,-18.191161356629003,205.0,-1.0
400.0,0.046875,-1.2126596023639042E-14,400.0,47.5,-3.2245379473063247,405.0,-1.0
600.0,0.0625,-1.616879469818539E-14,600.0,49.0,1.4016433059449076,605.0,-1.0
800.0,0.078125,-2.021099337273174E-14,800.0,59.0,0.0,805.0,-1.0
1000.0,0.078125,-2.021099337273174E-14,1000.0,51.0,1.6557952834922187,1005.0,-1.0
1200.0,0.09375,-2.4253192047278088E-14,1200.0,51.5,5.3473848555815735,1205.0,-1.0
1400.0,0.09375,-2.4253192047278088E-14,1400.0,52.5,-1.0638297872340436,1405.0,-1.0
1600.0,0.09375,-2.4253192047278088E-14,1600.0,46.5,-5.170041281698446,1605.0,-1.0
1800.0,0.109375,-2.8295390721824436E-14,1800.0,52.5,-1.996993772815136,1805.0,-1.0
2000.0,0.109375,-2.8295390721824436E-14,2000.0,50.0,2.6479750778816307,2005.0,-1.0
2170.0,0.109375,-2.8295390721824436E-14,2170.0,46.0,-1.5037593984962419,2175.0,-1.0
learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes)
200.0,0.03125,-8.084397349092695E-15,200.0,42.5,-18.191161356629003,205.0,-1.0
400.0,0.046875,-1.2126596023639042E-14,400.0,47.5,-3.2245379473063247,405.0,-1.0
600.0,0.0625,-1.616879469818539E-14,600.0,49.0,1.4016433059449076,605.0,-1.0
800.0,0.0625,-1.616879469818539E-14,800.0,59.0,0.0,805.0,-1.0
1000.0,0.078125,-2.021099337273174E-14,1000.0,51.0,1.6557952834922187,1005.0,-1.0
1200.0,0.078125,-2.021099337273174E-14,1200.0,51.5,5.3473848555815735,1205.0,-1.0
1400.0,0.09375,-2.4253192047278088E-14,1400.0,52.5,-1.0638297872340436,1405.0,-1.0
1600.0,0.09375,-2.4253192047278088E-14,1600.0,46.5,-5.170041281698446,1605.0,-1.0
1800.0,0.09375,-2.4253192047278088E-14,1800.0,52.5,-1.996993772815136,1805.0,-1.0
2000.0,0.109375,-2.8295390721824436E-14,2000.0,50.0,2.6479750778816307,2005.0,-1.0
2170.0,0.109375,-2.8295390721824436E-14,2170.0,46.0,-1.5037593984962419,2175.0,-1.0
learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes)
200.0,0.03125,-8.084397349092695E-15,200.0,42.5,-18.191161356629003,205.0,-1.0
400.0,0.046875,-1.2126596023639042E-14,400.0,47.5,-3.2245379473063247,405.0,-1.0
600.0,0.0625,-1.616879469818539E-14,600.0,49.0,1.4016433059449076,605.0,-1.0
800.0,0.078125,-2.021099337273174E-14,800.0,59.0,0.0,805.0,-1.0
1000.0,0.078125,-2.021099337273174E-14,1000.0,51.0,1.6557952834922187,1005.0,-1.0
1200.0,0.09375,-2.4253192047278088E-14,1200.0,51.5,5.3473848555815735,1205.0,-1.0
1400.0,0.09375,-2.4253192047278088E-14,1400.0,52.5,-1.0638297872340436,1405.0,-1.0
1600.0,0.09375,-2.4253192047278088E-14,1600.0,46.5,-5.170041281698446,1605.0,-1.0
1800.0,0.109375,-2.8295390721824436E-14,1800.0,52.5,-1.996993772815136,1805.0,-1.0
2000.0,0.109375,-2.8295390721824436E-14,2000.0,50.0,2.6479750778816307,2005.0,-1.0
2170.0,0.109375,-2.8295390721824436E-14,2170.0,46.0,-1.5037593984962419,2175.0,-1.0
