learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
2000.0,0.203125,-2.627429138455126E-13,2000.0,54.0,5.00774393391843,2003.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2184.0,0.21875,-2.829539072182443E-13,2184.0,49.5,-3.69609856262834,2187.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
200.0,0.09375,-1.2126596023639043E-13,200.0,51.5,2.1980237951199877,203.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
400.0,0.109375,-1.4147695360912217E-13,400.0,48.5,-2.1420071400238063,403.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
600.0,0.125,-1.6168794698185392E-13,600.0,48.5,-1.1589078766450631,603.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
800.0,0.140625,-1.8189894035458566E-13,800.0,47.0,-9.958506224066399,803.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1000.0,0.15625,-2.021099337273174E-13,1000.0,51.0,1.803607214428859,1003.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1200.0,0.171875,-2.2232092710004914E-13,1200.0,52.0,3.7690457097032954,1203.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1400.0,0.171875,-2.2232092710004914E-13,1400.0,48.0,0.0,1403.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1600.0,0.1875,-2.4253192047278086E-13,1600.0,50.0,0.0,1603.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1800.0,0.203125,-2.627429138455126E-13,1800.0,48.0,-0.2409638554216816,1803.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2000.0,0.203125,-2.627429138455126E-13,2000.0,54.0,5.00774393391843,2003.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2184.0,0.203125,-2.627429138455126E-13,2184.0,49.5,-3.69609856262834,2187.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
200.0,0.09375,-1.2126596023639043E-13,200.0,51.5,2.1980237951199877,203.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
400.0,0.109375,-1.4147695360912217E-13,400.0,48.5,-2.1420071400238063,403.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
600.0,0.125,-1.6168794698185392E-13,600.0,48.5,-1.1589078766450631,603.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
800.0,0.140625,-1.8189894035458566E-13,800.0,47.0,-9.958506224066399,803.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1000.0,0.15625,-2.021099337273174E-13,1000.0,51.0,1.803607214428859,1003.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1200.0,0.171875,-2.2232092710004914E-13,1200.0,52.0,3.7690457097032954,1203.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1400.0,0.1875,-2.4253192047278086E-13,1400.0,48.0,0.0,1403.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1600.0,0.1875,-2.4253192047278086E-13,1600.0,50.0,0.0,1603.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1800.0,0.203125,-2.627429138455126E-13,1800.0,48.0,-0.2409638554216816,1803.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2000.0,0.21875,-2.829539072182443E-13,2000.0,54.0,5.00774393391843,2003.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2184.0,0.234375,-3.03164900590976E-13,2184.0,49.5,-3.69609856262834,2187.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
200.0,0.078125,-1.010549668636587E-13,200.0,51.5,2.1980237951199877,203.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
400.0,0.109375,-1.4147695360912217E-13,400.0,48.5,-2.1420071400238063,403.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
600.0,0.125,-1.6168794698185392E-13,600.0,48.5,-1.1589078766450631,603.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
800.0,0.125,-1.6168794698185392E-13,800.0,47.0,-9.958506224066399,803.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1000.0,0.140625,-1.8189894035458566E-13,1000.0,51.0,1.803607214428859,1003.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1200.0,0.171875,-2.2232092710004914E-13,1200.0,52.0,3.7690457097032954,1203.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1400.0,0.171875,-2.2232092710004914E-13,1400.0,48.0,0.0,1403.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1600.0,0.1875,-2.4253192047278086E-13,1600.0,50.0,0.0,1603.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1800.0,0.203125,-2.627429138455126E-13,1800.0,48.0,-0.2409638554216816,1803.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2000.0,0.203125,-2.627429138455126E-13,2000.0,54.0,5.00774393391843,2003.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2184.0,0.21875,-2.829539072182443E-13,2184.0,49.5,-3.69609856262834,2187.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
200.0,0.078125,-1.010549668636587E-13,200.0,51.5,2.1980237951199877,203.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
400.0,0.109375,-1.4147695360912217E-13,400.0,48.5,-2.1420071400238063,403.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
600.0,0.109375,-1.4147695360912217E-13,600.0,48.5,-1.1589078766450631,603.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
800.0,0.125,-1.6168794698185392E-13,800.0,47.0,-9.958506224066399,803.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1000.0,0.140625,-1.8189894035458566E-13,1000.0,51.0,1.803607214428859,1003.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1200.0,0.15625,-2.021099337273174E-13,1200.0,52.0,3.7690457097032954,1203.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1400.0,0.171875,-2.2232092710004914E-13,1400.0,48.0,0.0,1403.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1600.0,0.1875,-2.4253192047278086E-13,1600.0,50.0,0.0,1603.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1800.0,0.1875,-2.4253192047278086E-13,1800.0,48.0,-0.2409638554216816,1803.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2000.0,0.203125,-2.627429138455126E-13,2000.0,54.0,5.00774393391843,2003.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2184.0,0.203125,-2.627429138455126E-13,2184.0,49.5,-3.69609856262834,2187.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
200.0,0.078125,-1.010549668636587E-13,200.0,51.5,2.1980237951199877,203.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
400.0,0.109375,-1.4147695360912217E-13,400.0,48.5,-2.1420071400238063,403.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
600.0,0.109375,-1.4147695360912217E-13,600.0,48.5,-1.1589078766450631,603.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
800.0,0.125,-1.6168794698185392E-13,800.0,47.0,-9.958506224066399,803.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1000.0,0.140625,-1.8189894035458566E-13,1000.0,51.0,1.803607214428859,1003.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1200.0,0.171875,-2.2232092710004914E-13,1200.0,52.0,3.7690457097032954,1203.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1400.0,0.1875,-2.4253192047278086E-13,1400.0,48.0,0.0,1403.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1600.0,0.203125,-2.627429138455126E-13,1600.0,50.0,0.0,1603.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1800.0,0.203125,-2.627429138455126E-13,1800.0,48.0,-0.2409638554216816,1803.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2000.0,0.21875,-2.829539072182443E-13,2000.0,54.0,5.00774393391843,2003.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2184.0,0.234375,-3.03164900590976E-13,2184.0,49.5,-3.69609856262834,2187.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
200.0,0.078125,-1.010549668636587E-13,200.0,51.5,2.1980237951199877,203.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
400.0,0.09375,-1.2126596023639043E-13,400.0,48.5,-2.1420071400238063,403.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
600.0,0.109375,-1.4147695360912217E-13,600.0,48.5,-1.1589078766450631,603.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
800.0,0.109375,-1.4147695360912217E-13,800.0,47.0,-9.958506224066399,803.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1000.0,0.125,-1.6168794698185392E-13,1000.0,51.0,1.803607214428859,1003.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1200.0,0.15625,-2.021099337273174E-13,1200.0,52.0,3.7690457097032954,1203.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1400.0,0.15625,-2.021099337273174E-13,1400.0,48.0,0.0,1403.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1600.0,0.171875,-2.2232092710004914E-13,1600.0,50.0,0.0,1603.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1800.0,0.1875,-2.4253192047278086E-13,1800.0,48.0,-0.2409638554216816,1803.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2000.0,0.203125,-2.627429138455126E-13,2000.0,54.0,5.00774393391843,2003.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2184.0,0.203125,-2.627429138455126E-13,2184.0,49.5,-3.69609856262834,2187.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
200.0,0.078125,-1.010549668636587E-13,200.0,51.5,2.1980237951199877,203.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
400.0,0.109375,-1.4147695360912217E-13,400.0,48.5,-2.1420071400238063,403.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
600.0,0.125,-1.6168794698185392E-13,600.0,48.5,-1.1589078766450631,603.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
800.0,0.140625,-1.8189894035458566E-13,800.0,47.0,-9.958506224066399,803.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1000.0,0.15625,-2.021099337273174E-13,1000.0,51.0,1.803607214428859,1003.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1200.0,0.171875,-2.2232092710004914E-13,1200.0,52.0,3.7690457097032954,1203.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1400.0,0.171875,-2.2232092710004914E-13,1400.0,48.0,0.0,1403.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1600.0,0.1875,-2.4253192047278086E-13,1600.0,50.0,0.0,1603.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1800.0,0.203125,-2.627429138455126E-13,1800.0,48.0,-0.2409638554216816,1803.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2000.0,0.203125,-2.627429138455126E-13,2000.0,54.0,5.00774393391843,2003.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2184.0,0.21875,-2.829539072182443E-13,2184.0,49.5,-3.69609856262834,2187.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
200.0,0.078125,-1.010549668636587E-13,200.0,51.5,2.1980237951199877,203.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
400.0,0.109375,-1.4147695360912217E-13,400.0,48.5,-2.1420071400238063,403.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
600.0,0.109375,-1.4147695360912217E-13,600.0,48.5,-1.1589078766450631,603.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
800.0,0.125,-1.6168794698185392E-13,800.0,47.0,-9.958506224066399,803.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1000.0,0.140625,-1.8189894035458566E-13,1000.0,51.0,1.803607214428859,1003.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1200.0,0.15625,-2.021099337273174E-13,1200.0,52.0,3.7690457097032954,1203.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1400.0,0.171875,-2.2232092710004914E-13,1400.0,48.0,0.0,1403.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1600.0,0.1875,-2.4253192047278086E-13,1600.0,50.0,0.0,1603.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1800.0,0.203125,-2.627429138455126E-13,1800.0,48.0,-0.2409638554216816,1803.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2000.0,0.203125,-2.627429138455126E-13,2000.0,54.0,5.00774393391843,2003.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2184.0,0.21875,-2.829539072182443E-13,2184.0,49.5,-3.69609856262834,2187.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
200.0,0.078125,-1.010549668636587E-13,200.0,51.0,2.4001593466786186,219.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
400.0,0.09375,-1.2126596023639043E-13,400.0,46.5,-5.689450809956537,459.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
600.0,0.109375,-1.4147695360912217E-13,600.0,48.0,-2.6045777426992873,666.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
800.0,0.125,-1.6168794698185392E-13,800.0,49.0,-4.4226044226044365,956.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1000.0,0.15625,-2.021099337273174E-13,1000.0,51.5,2.3555466076102363,1222.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1200.0,0.171875,-2.2232092710004914E-13,1200.0,49.5,0.0,1530.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1280.0,0.203125,-2.6274291384551263E-13,1280.0,50.5,0.0,2187.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
